25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
25, 6.39554, 0.155 6.21907 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
2.5, 1.67365, 0.155 0.156233 , 12
